,zh,en
New Game,新游戏,New Game
Continue,继续,Continue
Quit,退出,Quit
Press Esc to skip,按Esc跳过,Press Esc to skip
,,
,,
Calculator,计算器,Calculator
Clock,时钟,Clock
Maps,地图,Maps
Music,音乐,Music
,,
,,
Calendar,日历,Calendar
January,一月,January
February,二月,February
March,三月,March
April,四月,April
May,五月,May
June,六月,June
July,七月,July
August,八月,August
September,九月,September
October,十月,October
November,十一月,November
December,十二月,December
Sunday,周日,Sunday
Monday,周一,Monday
Tuesday,周二,Tuesday
Wednesday,周三,Wednesday
Thursday,周四,Thursday
Friday,周五,Friday
Saturday,周六,Saturday
No events,无安排,No events
No events today,今日无安排,No events today
,,
,,
Call History,通话记录,Call History
Recents,最近来电,Recents
You have {0} missed calls,你有{0}个未接来电,You have {0} missed calls
in the future,未来,in the future
just now,刚刚,just now
today,今天,today
yesterday,昨天,yesterday
days ago,天前,days ago
call failed,未拨通,call failed
call missed,未接电话,call missed
call rejected,拒接电话,call rejected
canceled,取消通话,canceled
Contact Name:,联系人：,Contact Name:
Call Time:,通话时间：,Call Time:
Duration of Call:,通话时长：,Duration of Call:
Recorded Call,通话录音,Recorded Call
,,
,,
Chats,聊天,Chats
skipmode,跳过模式,skipmode
,,
,,
Contacts,联系人,Contacts
has been added to your contacts,已被添加到联系人中,has been added to your contacts
,,
,,
Enter the password.,输入密码,Enter the password.
Correct password.,密码正确,Correct password.
Wrong password.,密码错误,Wrong password.
,,
,,
Missions,任务,Missions
New Mission,新的任务,New Mission
mission complete,任务完成,mission complete
not complete,未完成,not complete
completed,已完成,completed
,,
,,
News,新闻,News
likes,点赞,likes
comments,评论,comments
reposts,转发,reposts
,,
,,
Notepad,记事本,Notepad
has been added to your notepad,已被添加到记事本中,
Cancel,取消,Cancel
Daily,日常,Daily
Achievements,成就,Achievements
,,
,,
Phone,拨号,Phone
Decline,取消,Decline
Accept,确认,Accept
calling...,通话中…,calling...
call end,通话结束,call end
,,
,,
Photos,相册,Photos
My Albums,我的相册,My Albums
,,
,,
Settings,设置,Settings
Sound,声音,Sound
Master Volume,主音量,Master Volume
Sound Volume,音效大小,Sound Volume
Music Volume,音乐大小,Music Volume
Color Settings,颜色设置,Color Settings
Switch Palette,切换配色,Switch Palette
White Color,浅色,White Color
Black Color,深色,Black Color
Random Palette,随机配色,Random Palette
Language,语言,Language
Restart Device,重启设备,Restart Device
Return to Power-on Interface,返回开机界面,Return to Power-on Interface
Power Off,关机,Power Off
Are you sure?,你确定吗？,Are you sure?
,,
,,
AI Search,AI搜索,AI Search
Your Best AI Search Asistent,您最好的AI搜索助手,Your Best AI Search Asistent
Enter the Key Words to Search,输入关键词来搜索,Enter the Key Words to Search
,,
,,
,,
,,
Tailor Cloth,泰勒·小布,Tailor Cloth
Miss Candleheart,烛心小姐,Miss Candleheart
